variety_name,detail_url,jina,zao,crop_common,crop_scientific,crop_full_name,mwaka_usajili,registrant,altitude_range,altitude_min,altitude_max,suitable_regions,grain_yield,grain_yield_min,grain_yield_max,distinctive_characters,days_to_tasseling,plant_height_cm,grain_size,stem_colour,additional_fields
IFSOY1,https://www.tosci.go.tz/seed-varieties/ifsoy1,IFSOY1,SOYA,SOYA,,SOYA,2025,IFFA Seed Co. Tanzania Ltd,1500 - 1800m,1500.0,1800.0,MEDIUM TO HIGH,,,,"Ina madini ya chuma  (Fe) 67.50-101.60mg/kg, zinki 31.70-34.10mg/kg",,,,,"{""Special Attributes"": ""Ina 26.7% ya kiwango cha Protini, ina 19.8% ya kiwango cha mafuta,""}"
ILANGA RZ F1,https://www.tosci.go.tz/seed-varieties/ilanga-rz-f1,ILANGA RZ F1,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
Ilomba,https://www.tosci.go.tz/seed-varieties/ilomba,Ilomba,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),1990,ARI Uyole,1200-2000,1200.0,2000.0,"Mbeya, Rukwa, Iringa",1.5-2.5,1.5,2.5,"Days to maturity: 88, Days to 50 % flowering: 40",,,,,"{""Special Attributes"": ""Resistant to anthracnose, halo blight and rust, Tolerant to ascochyta""}"
Ilonga-10-1M,https://www.tosci.go.tz/seed-varieties/ilonga-10-1m,Ilonga-10-1M,Pigeon pea (Cajanus cajan),Pigeon pea,Cajanus cajan,Pigeon pea (Cajanus cajan),2014,ARI Ilonga,400 - 1800,400.0,1800.0,Medium Altitude,1.9,1.9,,,,,,,"{""Special Attributes"": ""Resistant to Fusarium wilt""}"
Ilonga-10-2M,https://www.tosci.go.tz/seed-varieties/ilonga-10-2m,Ilonga-10-2M,Pigeon pea (Cajanus cajan),Pigeon pea,Cajanus cajan,Pigeon pea (Cajanus cajan),2014,ARI Ilonga,400 - 1800,400.0,1800.0,Medium Altitude,2.2,2.2,,,,,,,"{""Special Attributes"": ""Resistant to Fusarium wilt""}"
IMANI F1,https://www.tosci.go.tz/seed-varieties/imani-f1-2,IMANI F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,BALTON TANZANIA LTD,,,,,,,,,,,,,{}
Imara,https://www.tosci.go.tz/seed-varieties/imara,Imara,Green gram (Vigna radiata L.),Green gram,Vigna radiata L.,Green gram (Vigna radiata L.),1982,ARI Ilonga,0-1350,0.0,1350.0,"Morogoro, Pwani, Mtwara, Lindi",1.5,1.5,,"Growth habbit: semi-prostate, Plant height (cm): 42,Flower colour: purple, Pod colour at maturity: brown, Seed shape: rhomboid, Testa texture: smooth, Seed size: Large than Nuru",,,,,"{""Special Attributes"": ""Resistant to mosaic virus and moderately resistant to bacterial blight. Wide adaptability""}"
INDICA,https://www.tosci.go.tz/seed-varieties/indica,INDICA,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,East West Seed (T)Limited,,,,,,,,,,,,,{}
INDRA,https://www.tosci.go.tz/seed-varieties/indra,INDRA,Pepper (Piper nigrum  ),Pepper,Piper nigrum,Pepper (Piper nigrum  ),2021,Syngenta Tanzania Ltd.,,,,,,,,,,,,,{}
IR 22,https://www.tosci.go.tz/seed-varieties/ir-22,IR 22,Paddy (Oryza sativa),Paddy,Oryza sativa,Paddy (Oryza sativa),983,KATRIN,400-1000,400.0,1000.0,"Morogoro, Pwani, Tanga, Lindi, Mtwara",6.6-8.0,6.6,8.0,Days to maturity: 120-134,,,,,"{""Special Attributes"": ""Resistant to bacterial blight""}"
