variety_name,crop_full,registrant,year,detail_url
NYATI F1,Tomato (Solanum lycopersicum),Ultravetis Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/nyati-f1
Nyota (Span cross),Ground nut (Arachis hypogeae L.),ARI Naliendele,1983,https://www.tosci.go.tz/seed-varieties/nyota-span-cross
NYOTA F1,Tomato (Solanum lycopersicum),Kibo Seeds Company Ltd,2021,https://www.tosci.go.tz/seed-varieties/nyota-f1
NZITO F1,Watermelon  (Citrullus lanatus    ),BALTON TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/nzito-f1
OH102,Okra (Abelmoschus esculentus  ),SYNGENTA TANZANIA LTD,2022,https://www.tosci.go.tz/seed-varieties/oh102
OK 105 IS F1,Okra (Abelmoschus esculentus  ),INDAF SEED&TECHNOLOGY,2021,https://www.tosci.go.tz/seed-varieties/ok-105-is-f1
OK 106 IS F1,Okra (Abelmoschus esculentus  ),INDAF SEED&TECHNOLOGY,2021,https://www.tosci.go.tz/seed-varieties/ok-106-is-f1
OK 107 IS F1,Okra (Abelmoschus esculentus  ),INDAF SEED&TECHNOLOGY,2021,https://www.tosci.go.tz/seed-varieties/ok-107-is-f1
Okoa,Pearl Millet (Pennisetum glaucum L.),ARI Ilonga,1994,https://www.tosci.go.tz/seed-varieties/okoa
Olevolosi,African Nightshade (Solanum scabrum),HORTI-Tengeru,2011,https://www.tosci.go.tz/seed-varieties/olevolosi
Oshirit F1,Tomato (Solanum lycopersicum),Seedco Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/oshirit-f1
Oshma F1,Hot pepper (Capsicum annum L.),Vetagro (EA) ltd,2023,https://www.tosci.go.tz/seed-varieties/oshma-f1
P2809W,Maize (Zea mays L.),Pannar Overseas Corporation (T) Ltd,2021,https://www.tosci.go.tz/seed-varieties/p2809w
P2848W,Maize (Zea mays L.),Corteva Agriscience Tanzania Ltd,2023,https://www.tosci.go.tz/seed-varieties/p2848w
P2859W,Maize (Zea mays L.),Pioneer Hybrid Seeds Ltd,2010,https://www.tosci.go.tz/seed-varieties/p2859w
P3531W,MAHINDI,Corteva Agriscience Tanzania,2025,https://www.tosci.go.tz/seed-varieties/p3531w
